year,iso3,country,rank,cdi,totalImport,chinaImport,topCategory,region,incomeGroup
2007,SGP,Singapore,68,0.14811940299243775,198122588.865,29345799.582,机械、电气与电子设备,East Asia & Pacific,High income
2007,ZAF,South Africa,69,0.14682888856884949,56576796.494,8307108.148,机械、电气与电子设备,Sub-Saharan Africa ,Upper middle income
2007,MUS,Mauritius,70,0.1447161056897867,1836981.321,265840.783,纺织、服装、鞋帽与生活饰品,Sub-Saharan Africa ,Upper middle income
2007,LAO,Lao People's Dem. Rep.,71,0.14127515063470306,1138086.686,160783.368,机械、电气与电子设备,East Asia & Pacific,Lower middle income
2007,PER,Peru,72,0.14054674854362736,11824024.143,1661828.148,机械、电气与电子设备,Latin America & Caribbean ,Upper middle income
2007,BRA,Brazil,73,0.1396267808593067,96306436.088,13446957.647,机械、电气与电子设备,Latin America & Caribbean ,Upper middle income
2007,RUS,Russian Federation,74,0.13931881260668277,176894409.383,24644719.072,机械、电气与电子设备,Europe & Central Asia,High income
2007,GUY,Guyana,75,0.13803369771278545,691291.725,95421.553,机械、电气与电子设备,Latin America & Caribbean ,High income
2007,MLI,Mali,76,0.13608250284329584,805749.782,109648.447,运输设备,Sub-Saharan Africa ,Low income
2007,URY,Uruguay,77,0.13586274177768007,4295235.812,583562.514,机械、电气与电子设备,Latin America & Caribbean ,High income
2007,ZWE,Zimbabwe,78,0.13546735246363006,1442947.577,195472.288,化学品、医药与高分子材料,Sub-Saharan Africa ,Lower middle income
2007,TON,Tonga,79,0.13316195245270182,51623.417,6874.275,机械、电气与电子设备,East Asia & Pacific,Upper middle income
2007,ARG,Argentina,80,0.13055612614012752,39070048.092,5100834.127,机械、电气与电子设备,Latin America & Caribbean ,Upper middle income
2007,LBN,Lebanon,81,0.12934221349992828,7676482.11,992893.188,机械、电气与电子设备,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income
2007,NIC,Nicaragua,82,0.1271968030996012,2642611.951,336131.792,机械、电气与电子设备,Latin America & Caribbean ,Lower middle income
2007,VUT,Vanuatu,83,0.12700704261693094,138748.424,17622.027000000002,运输设备,East Asia & Pacific,Lower middle income
2007,JOR,Jordan,84,0.1256925509996013,10148310.022,1275566.975,纺织、服装、鞋帽与生活饰品,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income
2007,AGO,Angola,85,0.12449743549084992,9340011.908,1162807.53,机械、电气与电子设备,Sub-Saharan Africa ,Lower middle income
2007,COM,Comoros,86,0.12427875119641904,51804.592,6438.21,机械、电气与电子设备,Sub-Saharan Africa ,Lower middle income
2007,UKR,Ukraine,87,0.12387110088576511,46485262.025,5758180.582,纺织、服装、鞋帽与生活饰品,Europe & Central Asia,Upper middle income
2007,LBY,Libya,88,0.12184763556707257,7056896.648,859866.171,机械、电气与电子设备,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income
2007,ECU,Ecuador,89,0.12176050482927465,7636025.313,929766.297,机械、电气与电子设备,Latin America & Caribbean ,Upper middle income
2007,LBR,Liberia,90,0.12087729001297988,5944745.3440000005,718584.7069999999,运输设备,Sub-Saharan Africa ,Low income
2007,BDI,Burundi,91,0.12052202113636916,104810.622,12631.988,机械、电气与电子设备,Sub-Saharan Africa ,Low income
